home,away,home_elo,away_elo,home_form,away_form,attack_diff,defense_diff,injury_delta,result
West Germany,Netherlands,1960,1935,0.87,0.87,0.05,-0.05,0,2
Ireland,Romania,1800,1840,0.73,0.80,-0.10,0.05,0,1
Yugoslavia,Spain,1880,1890,0.73,0.80,-0.05,0.05,0,1
Italy,Uruguay,1950,1870,0.87,0.73,0.25,-0.15,0,2
England,Belgium,1885,1830,0.73,0.80,0.10,-0.05,0,2
Argentina,Yugoslavia,1945,1880,0.80,0.73,0.10,-0.05,0,1
Italy,Ireland,1950,1800,0.87,0.73,0.30,-0.20,0,2
West Germany,Czechoslovakia,1960,1860,0.80,0.73,0.25,-0.15,0,2
England,Cameroon,1885,1740,0.87,0.60,0.30,-0.20,0,2
Argentina,Italy,1945,1950,0.73,0.87,-0.10,0.05,0,1
West Germany,England,1960,1885,0.87,0.87,0.10,-0.05,0,1
West Germany,Argentina,1960,1945,0.87,0.73,0.15,-0.10,0,2
Germany,Belgium,1950,1830,0.87,0.73,0.25,-0.15,0,2
Spain,Switzerland,1905,1820,0.87,0.67,0.25,-0.20,0,2
Sweden,Saudi Arabia,1860,1730,0.87,0.67,0.30,-0.25,0,2
Romania,Argentina,1840,1960,0.73,0.87,-0.25,0.15,0,1
Netherlands,Ireland,1935,1810,0.80,0.73,0.30,-0.20,0,2
Brazil,USA,1960,1790,0.87,0.60,0.40,-0.25,0,2
Italy,Nigeria,1940,1810,0.80,0.73,0.25,-0.15,0,2
Mexico,Bulgaria,1870,1810,0.73,0.73,0.05,-0.05,0,1
Italy,Spain,1940,1905,0.87,0.80,0.10,-0.05,0,2
Netherlands,Brazil,1935,1960,0.80,0.87,-0.10,0.05,0,0
Bulgaria,Germany,1810,1950,0.73,0.80,-0.25,0.15,0,2
Romania,Sweden,1840,1860,0.73,0.80,-0.10,0.05,0,1
Italy,Bulgaria,1940,1810,0.87,0.73,0.35,-0.20,0,2
Brazil,Sweden,1960,1860,0.87,0.80,0.25,-0.15,0,2
Brazil,Italy,1960,1940,0.87,0.80,0.10,-0.05,0,1
Norway,Italy,1860,1940,0.73,0.87,-0.25,0.15,0,0
France,Paraguay,1985,1850,0.80,0.73,0.20,-0.15,0,2
Nigeria,Denmark,1800,1870,0.73,0.80,-0.15,0.05,0,0
Germany,Mexico,1945,1875,0.87,0.80,0.15,-0.10,0,2
Romania,Croatia,1840,1860,0.73,0.87,-0.10,0.05,0,0
Netherlands,Yugoslavia,1950,1870,0.87,0.73,0.25,-0.15,0,2
England,Argentina,1905,1960,0.87,0.87,-0.10,0.05,0,1
France,Italy,1985,1940,0.87,0.87,0.10,-0.05,0,1
Brazil,Denmark,1970,1870,0.87,0.80,0.20,-0.15,0,2
Netherlands,Argentina,1950,1960,0.80,0.87,-0.05,0.05,0,2
Germany,Croatia,1945,1860,0.80,0.73,0.20,-0.15,0,0
Brazil,Netherlands,1970,1950,0.87,0.87,0.05,-0.05,0,1
France,Croatia,1985,1860,0.87,0.73,0.30,-0.20,0,2
France,Brazil,1985,1970,0.87,0.87,0.05,-0.05,0,2
Germany,Paraguay,1940,1850,0.87,0.73,0.25,-0.15,0,2
England,Denmark,1910,1870,0.87,0.80,0.15,-0.10,0,2
Senegal,Sweden,1770,1860,0.80,0.73,-0.10,0.05,0,2
Spain,Ireland,1935,1810,0.80,0.73,0.20,-0.15,0,1
USA,Mexico,1810,1870,0.73,0.80,-0.15,0.05,0,2
Brazil,Belgium,1975,1820,0.87,0.80,0.30,-0.15,0,2
Japan,Turkey,1820,1820,0.73,0.73,0.00,0.00,0,0
South Korea,Italy,1800,1940,0.73,0.87,-0.35,0.20,0,2
Germany,USA,1940,1810,0.87,0.73,0.30,-0.15,0,2
Brazil,England,1975,1910,0.87,0.87,0.10,-0.05,0,2
Turkey,Senegal,1820,1770,0.73,0.80,-0.05,0.05,0,2
Spain,South Korea,1935,1800,0.87,0.67,0.25,-0.15,0,1
Germany,South Korea,1940,1800,0.87,0.67,0.30,-0.15,0,2
Brazil,Turkey,1975,1820,0.87,0.73,0.30,-0.15,0,2
Brazil,Germany,1975,1940,0.87,0.87,0.05,-0.05,0,2
Germany,Sweden,1950,1870,0.87,0.80,0.20,-0.15,0,2
Argentina,Mexico,1960,1890,0.87,0.80,0.15,-0.10,0,2
England,Ecuador,1920,1800,0.80,0.73,0.20,-0.15,0,2
Portugal,Netherlands,1930,1945,0.80,0.87,-0.05,0.05,0,2
Italy,Australia,1970,1780,0.87,0.60,0.35,-0.20,0,2
Switzerland,Ukraine,1870,1850,0.73,0.67,0.05,-0.05,0,1
Brazil,Ghana,1975,1770,0.87,0.67,0.35,-0.25,0,2
France,Spain,1960,1960,0.80,0.73,0.00,0.00,0,2
Germany,Argentina,1950,1960,0.80,0.87,-0.05,0.05,0,1
Italy,Ukraine,1970,1850,0.87,0.73,0.30,-0.15,0,2
England,Portugal,1920,1930,0.73,0.80,-0.05,0.05,0,1
France,Brazil,1960,1975,0.80,0.87,-0.05,0.05,0,2
Germany,Italy,1950,1970,0.80,0.87,-0.05,0.05,0,0
Portugal,France,1930,1960,0.80,0.80,0.00,0.00,0,0
Italy,France,1970,1960,0.87,0.87,0.05,-0.05,0,1
USA,Ghana,1835,1790,0.73,0.80,-0.10,0.05,0,0
Germany,England,1965,1935,0.87,0.80,0.15,-0.10,0,2
Argentina,Mexico,1950,1900,0.87,0.80,0.15,-0.10,0,2
Netherlands,Slovakia,1975,1840,0.87,0.67,0.30,-0.20,0,2
Uruguay,South Korea,1915,1850,0.80,0.73,0.10,-0.05,0,2
Paraguay,Japan,1880,1850,0.73,0.73,0.05,-0.05,0,1
Spain,Portugal,2000,1940,0.87,0.87,0.15,-0.10,0,2
Netherlands,Brazil,1975,1960,0.87,0.87,0.05,-0.05,0,2
Uruguay,Ghana,1915,1790,0.80,0.73,0.20,-0.15,0,1
Paraguay,Spain,1880,2000,0.73,0.87,-0.25,0.15,0,0
Netherlands,Uruguay,1975,1915,0.87,0.80,0.20,-0.10,0,2
Portugal,Turkey,1920,1830,0.87,0.73,0.20,-0.15,0,2
Italy,Romania,1950,1810,0.87,0.67,0.35,-0.25,0,2
France,Spain,1970,1930,0.87,0.80,0.10,-0.05,0,2
Netherlands,Yugoslavia,1955,1870,0.87,0.73,0.25,-0.15,0,2
France,Portugal,1970,1920,0.87,0.87,0.10,-0.05,0,2
Italy,Netherlands,1950,1955,0.87,0.87,-0.05,0.05,0,1
France,Italy,1970,1950,0.87,0.80,0.10,-0.05,0,2
Greece,France,1820,1980,0.67,0.87,-0.40,0.25,0,2
England,Portugal,1920,1930,0.87,0.87,-0.05,0.05,0,1
Sweden,Netherlands,1875,1950,0.80,0.87,-0.15,0.05,0,0
Czech Republic,Denmark,1900,1860,0.87,0.80,0.10,-0.05,0,2
Portugal,Netherlands,1930,1950,0.87,0.87,-0.05,0.05,0,2
Greece,Czech Republic,1820,1900,0.73,0.87,-0.20,0.15,0,2
Greece,Portugal,1820,1930,0.73,0.87,-0.30,0.15,0,2
Portugal,Germany,1940,1965,0.80,0.87,-0.05,0.05,0,0
Turkey,Croatia,1860,1910,0.73,0.87,-0.20,0.10,0,1
Russia,Netherlands,1890,1960,0.80,0.87,-0.15,0.10,0,2
Spain,Italy,2010,1940,0.87,0.80,0.20,-0.10,0,1
Germany,Turkey,1965,1860,0.87,0.73,0.20,-0.15,0,2
Russia,Spain,1890,2010,0.80,0.87,-0.20,0.10,0,0
Germany,Spain,1965,2010,0.80,0.87,-0.10,0.05,0,0
Czech Republic,Portugal,1850,1960,0.67,0.87,-0.30,0.15,0,0
Greece,Germany,1840,2000,0.60,0.87,-0.40,0.25,0,0
France,Spain,1980,2060,0.80,0.87,-0.15,0.10,0,0
England,Italy,1930,1980,0.80,0.87,-0.10,0.05,0,1
Portugal,Spain,1960,2060,0.87,0.87,-0.15,0.10,0,1
Germany,Italy,2000,1980,0.87,0.87,0.05,-0.05,0,2
Spain,Italy,2060,1980,0.87,0.80,0.15,-0.10,0,2
France,Iceland,2020,1820,0.87,0.67,0.45,-0.25,0,2
Germany,Italy,2020,1940,0.87,0.80,0.15,-0.10,0,2
Wales,Belgium,1850,2010,0.73,0.87,-0.30,0.20,0,2
Portugal,Poland,1980,1880,0.80,0.73,0.15,-0.05,0,1
Portugal,Wales,1980,1850,0.87,0.73,0.25,-0.15,0,2
France,Germany,2020,2020,0.87,0.87,0.00,0.00,0,2
Portugal,France,1980,2020,0.73,0.87,-0.15,0.05,0,2
Portugal,Slovenia,2055,1870,0.87,0.67,0.30,-0.20,0,1
Germany,Denmark,1990,1900,0.87,0.80,0.15,-0.10,0,2
Spain,Georgia,2080,1830,0.87,0.60,0.45,-0.25,0,2
France,Belgium,2090,2015,0.87,0.80,0.10,-0.05,0,2
England,Slovakia,2050,1870,0.87,0.67,0.30,-0.15,0,2
Netherlands,Romania,2010,1840,0.87,0.67,0.35,-0.20,0,2
Austria,Turkey,1900,1900,0.73,0.80,-0.05,0.05,0,0
Switzerland,Italy,1950,1980,0.80,0.87,-0.05,0.05,0,2
Spain,Germany,2080,1990,0.87,0.87,0.05,-0.05,0,2
France,Portugal,2090,2055,0.87,0.87,0.05,-0.05,0,1
England,Switzerland,2050,1950,0.87,0.80,0.15,-0.05,0,1
Netherlands,Turkey,2010,1900,0.87,0.73,0.20,-0.15,0,2
Spain,France,2080,2090,0.87,0.87,-0.05,0.05,0,2
England,Netherlands,2050,2010,0.87,0.87,0.05,-0.05,0,2
Spain,England,2080,2050,0.87,0.87,0.05,-0.05,0,2
Chile,Argentina,1900,1980,0.73,0.87,-0.20,0.10,0,1
Argentina,Colombia,1980,1960,0.87,0.73,0.10,-0.05,0,2
Chile,Peru,1900,1870,0.80,0.73,0.10,-0.05,0,2
Chile,Argentina,1900,2000,0.73,0.87,-0.25,0.15,0,1
Argentina,USA,2000,1840,0.87,0.73,0.30,-0.15,0,2
Chile,Colombia,1900,1975,0.87,0.80,0.05,-0.05,0,2
Brazil,Argentina,1990,1990,0.87,0.87,0.00,0.00,0,2
Brazil,Peru,1990,1900,0.87,0.73,0.20,-0.15,0,2
Argentina,Colombia,2000,1975,0.80,0.87,-0.05,0.05,0,1
Argentina,Brazil,2000,1990,0.87,0.87,0.05,-0.05,0,2
Argentina,Canada,2130,1830,0.87,0.73,0.45,-0.25,0,2
Argentina,Colombia,2130,1985,0.87,0.87,0.05,-0.05,0,2
Egypt,Cameroon,1855,1790,0.73,0.73,0.05,-0.05,0,1
Burkina Faso,Senegal,1740,1870,0.67,0.80,-0.20,0.10,0,0
Senegal,Egypt,1870,1855,0.80,0.73,0.15,-0.05,0,1
South Africa,Nigeria,1760,1810,0.73,0.80,-0.10,0.05,0,0
Ivory Coast,DRC Congo,1780,1760,0.73,0.67,0.05,-0.05,0,2
Nigeria,Ivory Coast,1810,1780,0.80,0.73,0.10,-0.05,0,0
Portugal,Netherlands,2050,1990,0.87,0.87,0.10,-0.05,0,2
France,Spain,2100,2070,0.87,0.87,0.05,-0.05,0,2
Spain,Croatia,2070,1960,0.87,0.80,0.20,-0.10,0,2
